DATE,IC4WSA
1/28/67,209000
2/4/67,211000
2/11/67,216500
2/18/67,219500
2/25/67,229000
3/4/67,252500
3/11/67,255500
3/18/67,259500
3/25/67,260750
4/1/67,248000
4/8/67,252000
4/15/67,265500
4/22/67,265000
4/29/67,264000
5/6/67,263250
5/13/67,246250
5/20/67,242500
5/27/67,235750
6/3/67,234250
6/10/67,236000
6/17/67,234500
6/24/67,232000
7/1/67,222250
7/8/67,222750
7/15/67,227000
7/22/67,232500
7/29/67,232500
8/5/67,227750
8/12/67,218000
8/19/67,211750
8/26/67,212750
9/2/67,212000
9/9/67,219250
9/16/67,220500
9/23/67,219500
9/30/67,216000
10/7/67,216000
10/14/67,212500
10/21/67,216000
10/28/67,216750
11/4/67,214500
11/11/67,216500
11/18/67,210250
11/25/67,206250
12/2/67,199750
12/9/67,201500
12/16/67,203000
12/23/67,210000
12/30/67,215000
1/6/68,215250
1/13/68,219750
1/20/68,220250
1/27/68,215750
2/3/68,221250
2/10/68,218250
2/17/68,212000
2/24/68,210750
3/2/68,197250
3/9/68,195750
3/16/68,194250
3/23/68,196000
3/30/68,196500
4/6/68,193250
4/13/68,188500
4/20/68,184250
4/27/68,199000
5/4/68,203500
5/11/68,209250
5/18/68,213250
5/25/68,199000
6/1/68,196500
6/8/68,196000
6/15/68,194750
6/22/68,193500
6/29/68,192250
7/6/68,197750
7/13/68,195750
7/20/68,193500
7/27/68,196250
8/3/68,194250
8/10/68,202250
8/17/68,205250
8/24/68,202250
8/31/68,197750
9/7/68,190500
9/14/68,191250
9/21/68,190750
9/28/68,191000
10/5/68,190000
10/12/68,187750
10/19/68,187750
10/26/68,186000
11/2/68,185000
11/9/68,184250
11/16/68,184500
11/23/68,188750
11/30/68,184000
12/7/68,185250
12/14/68,186000
12/21/68,184250
12/28/68,199500
1/4/69,200000
1/11/69,199000
1/18/69,199000
1/25/69,191500
2/1/69,194750
2/8/69,196250
2/15/69,196250
2/22/69,196000
3/1/69,195500
3/8/69,194000
3/15/69,193250
3/22/69,190500
3/29/69,186000
